,DON_Pool(gN/m2)_Delineated_Average,DOC_Pool(gC/m2)_Delineated_Average,NH4_Pool(gN/m2)_Delineated_Average,NO3_Pool(gN/m2)_Delineated_Average,Step,Runoff_All(mm/day)_Delineated_Average,Sfc_Water_Temp_C,Criteria,Condition
1309,4.9147878374372205,178.33292279924666,0.653124792235238,0.01782823220959714,1309,0.0146783012896776,20.1125,Meets,Prefire
1310,4.915756498064314,178.4906441824777,0.6569188407489233,0.018523632149611145,1310,0.0228953287005424,19.7375,Meets,Prefire
1311,4.916769095829555,178.6524200439453,0.6528289403234209,0.01877296449882629,1311,0.0289134960621595,19.962502,Meets,Prefire
1312,4.917759895324708,178.81226675851008,0.6496883290154593,0.01866076673780143,1312,0.020603546872735,19.8125,Meets,Prefire
1313,4.9187316213335315,178.96461486816406,0.6489129577364241,0.01841681078076343,1313,0.015854176133871,19.287498,Meets,Prefire
1314,4.919700281960624,179.08376421247212,0.6520416055406844,0.018194983048098287,1314,0.016164468601346,16.3625,Meets,Prefire
1315,4.920653275081089,179.20870099748882,0.6549162524087089,0.017990497872233144,1315,0.0191518142819404,16.8875,Meets,Prefire
1316,4.921574592590332,179.32666233607702,0.6607159972190857,0.017991242930292858,1316,0.0272068046033382,16.3625,Meets,Prefire
1317,4.922459125518799,179.4641767229353,0.6604640398706709,0.017867818740861716,1317,0.0326051004230976,18.162498,Meets,Prefire
1318,4.923388617379325,179.5972333635603,0.6604040946279253,0.017627695841448573,1318,0.0262061897665262,17.9375,Meets,Prefire
1319,4.924299376351493,179.7284371512277,0.6652976785387312,0.017636797523924,1319,0.0295948162674903,17.5625,Meets,Prefire
1320,4.925181865692139,179.85152108328685,0.6702646613121032,0.01774512098303857,1320,0.0514719225466251,17.037498,Meets,Prefire
1321,4.926080703735352,179.97898646763397,0.6719143901552471,0.017794108550463143,1321,0.0768774077296257,17.4875,Meets,Prefire
1322,4.926977157592773,180.120359148298,0.6692551289285932,0.01774469124419343,1322,0.0671917274594307,18.6875,Meets,Prefire
1323,4.927910396030971,180.272216796875,0.6669706957680838,0.017643271546278573,1323,0.0439382307231426,19.4375,Meets,Prefire
1324,4.9288497652326315,180.43810163225447,0.6644297497613089,0.017532581197363714,1324,0.0293996501713991,20.5625,Meets,Prefire
1325,4.929810932704381,180.6030709402902,0.6622733388628277,0.017394867858716287,1325,0.0209153164178133,20.412498,Meets,Prefire
1326,4.930764266422817,180.76878138950894,0.6594608085496083,0.017155222594738,1326,0.0153590375557541,20.4875,Meets,Prefire
1327,4.9317581312997,180.9436907087054,0.6562625084604534,0.016839606687426286,1327,0.0110834632068872,21.3125,Meets,Prefire
1328,4.932772432054793,181.11628941127233,0.6539258786610195,0.016538522073200574,1328,0.008642473258078,21.087502,Meets,Prefire
1329,4.933760506766183,181.2707955496652,0.6639134032385688,0.017696935683488572,1329,0.0307626351714134,19.587502,Meets,Prefire
1330,4.934758799416678,181.42684936523438,0.6622168847492763,0.018428718405110286,1330,0.1451342850923538,19.8125,Meets,Prefire
1331,4.9358037539890836,181.5796334402902,0.6566517693655832,0.018760730911578285,1331,0.1332421749830246,19.287498,Meets,Prefire
1332,4.936845983777728,181.74040658133373,0.6535091570445469,0.018860397062131145,1332,0.0799061954021453,19.7375,Meets,Prefire
1333,4.937910011836461,181.9083949497768,0.6512784532138277,0.018825813063553146,1333,0.051569540053606,20.337502,Meets,Prefire
1334,4.93898902620588,182.0845903669085,0.6505042314529418,0.018832265798534573,1334,0.0381717197597026,20.9375,Meets,Prefire
1335,4.940070084163121,182.26458958217077,0.6480046255247932,0.018704832930650003,1335,0.0288862660527229,21.162498,Meets,Prefire
1336,4.94117225919451,182.44627816336495,0.6458098547799246,0.018469795052494287,1336,0.0203389208763837,21.3125,Meets,Prefire
1337,4.94227715900966,182.62295314243866,0.6441802637917654,0.018140372953244572,1337,0.0152058014646172,20.8625,Meets,Prefire
1338,4.943409987858364,182.79331752232144,0.6429011906896318,0.017720929213932573,1338,0.0119559150189161,20.4875,Meets,Prefire
1339,4.944497857775008,182.94368198939733,0.6476960437638418,0.01799739631158943,1339,0.0155963134020566,18.6875,Meets,Prefire
1340,4.945620809282576,183.11176845005582,0.6451439857482909,0.017911025456019716,1340,0.019555190578103,20.1125,Meets,Prefire
1341,4.946717194148472,183.28456333705358,0.6438517996243066,0.01772828400135029,1341,0.0152949625626206,20.6375,Meets,Prefire
1342,4.947825840541295,183.46594674246654,0.6416021074567521,0.01740041588033943,1342,0.0120410826057195,21.3875,Meets,Prefire
1343,4.948969909123012,183.64879063197546,0.6393086484500341,0.016953573961342856,1343,0.0090446043759584,21.6125,Meets,Prefire
1344,4.950080258505684,183.8279506138393,0.6371844666344778,0.01639446110597657,1344,0.0069058327935636,21.3875,Meets,Prefire
1345,4.951182774135045,183.9998735700335,0.6354502694947378,0.015732966629522,1345,0.0053860712796449,20.8625,Meets,Prefire
1346,4.95229652949742,184.16737147739957,0.6354575072016034,0.015279777081949143,1346,0.004750114865601,20.5625,Meets,Prefire
1347,4.953406538282123,184.31815011160717,0.6376947249685014,0.015232617567692288,1347,0.0054221907630562,18.9875,Meets,Prefire
1348,4.954476697104318,184.44015502929688,0.6468906147139412,0.016259387401597714,1348,0.013880081474781,15.987499,Meets,Prefire
1349,4.955498150416783,184.55047607421875,0.6495244162423269,0.016656986304691715,1349,0.0351969450712204,15.0875,Meets,Prefire
1350,4.956485203334264,184.65146745954243,0.6590022359575542,0.01683149220688,1350,0.0868948549032211,14.5625,Meets,Prefire
1351,4.957412311008999,184.76555960518974,0.6624126860073635,0.0167770018535,1351,0.2070227414369583,16.2125,Meets,Prefire
1352,4.958316258021764,184.87581525530135,0.6695352281842912,0.01647340399878343,1352,0.3379310667514801,16.2125,Meets,Prefire
1353,4.959182398659842,184.96721540178572,0.6794555698122298,0.015941523015498858,1353,0.6692581176757812,14.112499,Meets,Prefire
1354,4.960119043077742,185.07542201450894,0.6807543975966318,0.015838899250541143,1354,0.5012258291244507,15.6875,Meets,Prefire
1355,4.961050237928118,185.2066911969866,0.6810044390814644,0.01587864410664343,1355,0.1842826902866363,17.712502,Meets,Prefire
1356,4.961987904139928,185.34338814871654,0.6815097161701746,0.01592355514211286,1356,0.0885374844074249,18.0125,Meets,Prefire
1357,4.962925570351737,185.44642857142858,0.6844318338802883,0.015745035239628287,1357,0.0548976361751556,14.5625,Meets,Prefire
1358,4.963812487465995,185.54951259068082,0.6874583874429975,0.015422957284109716,1358,0.038669154047966,14.7125,Meets,Prefire
1359,4.964724949428014,185.6730433872768,0.6897675139563423,0.015103483040417713,1359,0.0264075100421905,16.9625,Meets,Prefire
1360,4.9656081199646005,185.79585484095983,0.6953927023070198,0.014980962233883715,1360,0.0247581917792558,16.8875,Meets,Prefire
1361,4.966460636683873,185.87851388113842,0.7033621839114598,0.014799567205565144,1361,0.0385229587554931,12.3125,Meets,Prefire
1362,4.967286927359445,185.97593035016743,0.7048476593835012,0.014511365443468,1362,0.0432886816561222,14.487499,Meets,Prefire
1363,4.9681084496634345,186.08978271484375,0.7060584425926208,0.014220368383186003,1363,0.0293180886656045,16.2875,Meets,Prefire
1364,4.968930993761336,186.19801112583707,0.7072020002773829,0.013892600046736573,1364,0.0203882157802581,15.762501,Meets,Prefire
1365,4.969723905835833,186.28206525530135,0.7110839230673652,0.013508646349821716,1365,0.0168792903423309,12.987499,Meets,Prefire
1366,4.970478330339705,186.35107857840404,0.7146693127495901,0.012996437560234574,1366,0.0148849878460168,10.8875,Meets,Prefire
1367,4.971202101026263,186.43979753766743,0.7179313046591623,0.012496829565082001,1367,0.0117928078398108,14.0375,Meets,Prefire
1368,4.971926893506732,186.54758998325894,0.7198841231209892,0.012052125696624859,1368,0.0090049244463443,16.2875,Meets,Prefire
1369,4.972654410770962,186.65134974888394,0.7209077903202601,0.011631560378840859,1369,0.0068630711175501,15.9125,Meets,Prefire
1370,4.973387037004744,186.74900599888394,0.721431119101388,0.011211736127734002,1370,0.0053681642748415,15.387501,Meets,Prefire
1371,4.974097524370467,186.83680943080358,0.7219885928290232,0.010772961457925143,1371,0.0043159932829439,14.3375,Meets,Prefire
1372,4.9747443199157715,186.88620431082592,0.7285766090665544,0.010333228191094572,1372,0.0044822017662227,7.5875,Meets,Prefire
1373,4.9753441129411975,186.93270002092635,0.7333041088921683,0.009847411752811428,1373,0.0048584612086415,7.4375,Meets,Prefire
1374,4.9759224482945035,186.99521745954243,0.7377683264868601,0.009387706273368285,1374,0.0042277718894183,11.487499,Meets,Prefire
1375,4.976513385772705,187.08062308175224,0.7409019981111797,0.008973583712109429,1375,0.0035232349764555,14.7875,Meets,Prefire
1376,4.977114200592041,187.17112949916296,0.7425610508237567,0.008600374151553142,1376,0.0028695375658571,15.612499,Meets,Prefire
1377,4.977659497942244,187.24578857421875,0.7437104838235038,0.008242024507905715,1377,0.0023800528142601,13.6625,Meets,Prefire
1378,4.97823919568743,187.31037684849332,0.7455326829637801,0.007897312087672,1378,0.0021005498711019,12.1625,Meets,Prefire
1379,4.978787217821394,187.3626926967076,0.7474884816578455,0.007548156593526858,1379,0.0019025549991056,10.2125,Meets,Prefire
1380,4.979307310921805,187.41263253348217,0.7500244038445609,0.007204124704003144,1380,0.0017033629119396,9.6125,Meets,Prefire
1381,4.979780401502338,187.4717058454241,0.7521742582321166,0.00687937052654343,1381,0.0015145678771659,12.0875,Meets,Prefire
1382,4.9802718843732565,187.52168927873885,0.7577117000307354,0.006600571796298,1382,0.001576610491611,10.0625,Meets,Prefire
1383,4.980719430106027,187.55615234375,0.7618993520736694,0.006322870030999143,1383,0.0017168939812108,6.0125,Meets,Prefire
1384,4.981145518166678,187.5913783482143,0.7661728348050798,0.006057735798614286,1384,0.0016141554806381,6.9125,Meets,Prefire
1385,4.981560707092285,187.62666974748885,0.7705880914415633,0.0058095183755668585,1385,0.0014809063868597,7.5125,Meets,Prefire
1386,4.981949669974191,187.65653337751118,0.782123293195452,0.005601042482469715,1386,0.0019472296116873,4.7375,Meets,Prefire
1387,4.98232364654541,187.69385201590404,0.7873657771519251,0.005405726509966857,1387,0.0025234152562916,8.1125,Meets,Prefire
1388,4.9826707158769885,187.73123604910717,0.7937209095273698,0.005225862509437715,1388,0.0024144311901181,8.2625,Meets,Prefire
1389,4.983025278363909,187.76572091238842,0.7994506188801357,0.005058033192264001,1389,0.0024122928734868,7.6625,Meets,Prefire
1390,4.983370644705637,187.8118896484375,0.8038236413683209,0.004900250517364,1390,0.0022268984466791,10.4375,Meets,Prefire
1391,4.983726569584438,187.86213466099332,0.8074729783194406,0.004751466414225715,1391,0.0019418010488152,11.4125,Meets,Prefire
1392,4.984104292733329,187.9124014718192,0.8104252815246581,0.004610081336327714,1392,0.0016921494388952,11.4125,Meets,Prefire
1393,4.9844663483755935,187.96417236328125,0.8126187324523926,0.004475468636623428,1393,0.0014767647953704,11.9375,Meets,Prefire
1394,4.98483453478132,188.01021030970983,0.814394269670759,0.004344801418483143,1394,0.0013004576321691,10.6625,Meets,Prefire
1395,4.985196249825614,188.0594961983817,0.8156343868800573,0.0042185639696460005,1395,0.0011540309060364,11.4125,Meets,Prefire
1396,4.985529354640416,188.10023716517858,0.8167204686573574,0.004094222760094,1396,0.0010317948181182,9.9125,Meets,Prefire
1397,4.985867227826801,188.13626970563618,0.8180313450949531,0.003971349048827143,1397,0.0009416998364031316,8.6375,Meets,Prefire
1398,4.986201354435512,188.16927228655135,0.8214147601808821,0.003854918426700857,1398,0.0009493377292528749,7.5875,Meets,Prefire
1399,4.986524241311209,188.1980460030692,0.8240384714944021,0.0037416865650031434,1399,0.000983786885626614,6.5375,Meets,Prefire
1400,4.986833844866072,188.225337437221,0.8264625923974173,0.003632229553269429,1400,0.0009371319902129472,6.2375,Meets,Prefire
1401,4.987143448420934,188.26287405831474,0.8285628897803169,0.0035282124632168574,1401,0.0008615063270553946,9.6125,Meets,Prefire
1402,4.987451348985945,188.3030264718192,0.8302197286060877,0.003428879260484572,1402,0.0007809649687260389,10.4375,Meets,Prefire
1403,4.9877238273620605,188.32820347377233,0.8322323220116752,0.003332589819495143,1403,0.0007196301594376564,5.7125,Meets,Prefire
1404,4.9879959651402075,188.34812709263394,0.8347611767905098,0.003240887142185429,1404,0.0006796202505938709,3.6875,Meets,Prefire
1405,4.988255841391427,188.3685302734375,0.8375453097479683,0.003154972634677143,1405,0.0006450461223721504,4.2875,Meets,Prefire
1406,4.988510949271066,188.3976091657366,0.840198142187936,0.003074161442262572,1406,0.0006077609141357243,8.1125,Meets,Prefire
1407,4.98875617980957,188.43464442661832,0.842256716319493,0.0029970206586377147,1407,0.0005621823365800083,10.4375,Meets,Prefire
1408,4.989006519317627,188.46945626395092,0.8438918420246669,0.002922625613531715,1408,0.0005151546210981905,10.0625,Meets,Prefire
1409,4.989268779754639,188.50618634905135,0.8450554098401751,0.0028503775995756906,1409,0.0004731352091766894,10.5125,Meets,Prefire
1410,4.989524568830218,188.53901454380582,0.8459097146987915,0.0027798794742141452,1410,0.0004362512845546007,9.6125,Meets,Prefire
1411,4.989784104483469,188.56676374162947,0.8467181239809309,0.0027110499130295856,1411,0.0004064597596880049,8.0375,Meets,Prefire
1412,4.990037849971227,188.6004856654576,0.8471640518733432,0.002643985374431525,1412,0.00037873844848945737,10.1375,Meets,Prefire
1413,4.990295682634627,188.62962995256697,0.8474831070218767,0.002578510736514415,1413,0.000352671806467697,8.7875,Meets,Prefire
1414,4.990544319152832,188.65709577287947,0.8477597577231272,0.002514650779111045,1414,0.0003309667808935046,8.1875,Meets,Prefire
