,Year,DOC_Loss(gC/day/m2)_Delineated_Average,Step,NH4_Loss(gN/day/m2)_Delineated_Average,Runoff_All(mm/day)_Delineated_Average,DON_Loss(gN/day/m2)_Delineated_Average,NO3_Loss(gN/day/m2)_Delineated_Average,DOC_mg/L,Sfc_Water_Temp_C,CO2
0,1998,0.0523499920964241,0,3.560858021955937e-05,11.570354461669922,0.0015545228961855,0.00017254504200536758,0.14957140598978316,2.6374998,0.03739285149744579
1,1998,0.0109333042055368,1,7.595903753099265e-06,9.667781829833984,0.0003234171017538756,3.2951560569927096e-05,0.03123801201581943,3.3125,0.007809503003954858
2,1998,0.011181516572833,2,8.019587767194025e-06,9.306119918823242,0.0003306657017674297,3.058119546039961e-05,0.03194719020809429,0.7624999,0.007986797552023573
3,1998,0.0115724774077534,3,8.621765118732583e-06,8.75596809387207,0.00034300980041734874,2.9532291591749527e-05,0.03306422116500972,0.08749986,0.00826605529125243
4,1998,0.0109437983483076,4,8.446983883914072e-06,7.950657367706299,0.00032469420693814754,2.6074798370245844e-05,0.031267995280878855,3.0875,0.007816998820219714
5,1998,0.0100255329161882,5,7.999168701644521e-06,7.190545082092285,0.0002975386450998485,2.237976877950132e-05,0.028644379760537717,1.2124999,0.007161094940134429
6,1998,0.009101303294301,6,7.4780837167054415e-06,6.532505989074707,0.0002700334589462728,1.918000270961784e-05,0.02600372369800286,-6.0625,0.006500930924500715
7,1998,0.0083076814189553,7,7.024831120361341e-06,5.978877067565918,0.00024642868083901703,1.6698966646799818e-05,0.02373623262558657,-1.6375003,0.005934058156396643
8,1998,0.0074786366894841,8,6.502395535790129e-06,5.458420753479004,0.00022160324442666024,1.4374591046362184e-05,0.021367533398526,2.7875,0.0053418833496315
9,1998,0.006693722680211,9,5.9848771343240514e-06,4.98698616027832,0.0001980658562388271,1.233287275681505e-05,0.01912492194346,3.7625,0.004781230485865
10,1998,0.0059850704856216,10,5.501099167304346e-06,4.5655035972595215,0.00017676038260105997,1.0553527317824772e-05,0.017100201387490285,4.3625,0.004275050346872571
