,NH4_Loss(gN/day/m2)_Delineated_Average,Year,Step,DON_Loss(gN/day/m2)_Delineated_Average,Runoff_All(mm/day)_Delineated_Average,NO3_Loss(gN/day/m2)_Delineated_Average,DOC_Loss(gC/day/m2)_Delineated_Average,DOC_mg/L,Sfc_Water_Temp_C,CO2
31,2.0665411284426227e-06,1998,31,3.882046803482808e-05,1.24796724319458,1.4923094795449288e-06,0.0013495530001819134,0.003855865714805467,0.23750007,0.0009639664287013667
32,2.0167331058473788e-06,1998,32,3.719632877619006e-05,1.1992539167404177,1.4258336022976437e-06,0.0012938424479216335,0.0036966927083475244,1.6625001,0.0009241731770868811
33,1.994822241613292e-06,1998,33,3.6102017475059256e-05,1.214913010597229,1.4053650829737308e-06,0.001255013863556087,0.0035857538958745344,4.4375,0.0008964384739686336
34,1.981692776098498e-06,1998,34,3.5215402022004134e-05,1.1105616092681885,1.4028008763489195e-06,0.001223374274559319,0.003495355070169483,3.6125,0.0008738387675423707
35,1.9228575638408074e-06,1998,35,3.359327820362523e-05,1.0691065788269043,1.3239019835964427e-06,0.0011688047088682652,0.003339442025337901,2.6374998,0.0008348605063344752
36,1.874371378107753e-06,1998,36,3.219036443624645e-05,1.0306570529937744,1.2595832004080878e-06,0.0011210755910724401,0.0032030731173498294,2.4875002,0.0008007682793374573
37,1.8312443899048958e-06,1998,37,3.092645783908665e-05,0.9947687983512878,1.2035840200042005e-06,0.0010778760770335793,0.0030796459343816556,1.5124999,0.0007699114835954139
38,1.7935230971488636e-06,1998,38,2.9804199584759772e-05,0.961685836315155,1.1561904784684884e-06,0.001039371476508677,0.0029696327900247915,-0.58749986,0.0007424081975061979
39,1.761322778293106e-06,1998,39,2.88194787572138e-05,0.931290566921234,1.1170747029609631e-06,0.0010054308222606778,0.0028726594921733655,-1.8624996999999999,0.0007181648730433414
40,1.7308459518972088e-06,1998,40,2.7896881874767132e-05,0.9025642871856691,1.0804678822751155e-06,0.0009736085776239632,0.0027817387932113236,0.46249986,0.0006954346983028309
41,1.6987365825116285e-06,1998,41,2.69838965323288e-05,0.8748123049736023,1.0423458434161148e-06,0.000942249724175781,0.0026921420690736602,0.23750007,0.0006730355172684151
42,1.6668885791659702e-06,1998,42,2.6104640710400414e-05,0.8487457036972046,1.005043372970249e-06,0.0009121234179474412,0.0026060669084212607,1.2124999,0.0006515167271053152
43,1.634583782106347e-06,1998,43,2.5240702598239292e-05,0.823583722114563,9.67169398791157e-07,0.0008825602708384395,0.002521600773824113,2.7875,0.0006304001934560283
44,1.6037093928389368e-06,1998,44,2.4430808480246924e-05,0.7995956540107727,9.321099128101195e-07,0.0008548054611310363,0.002442301317517247,-1.4125001,0.0006105753293793117
45,1.57897977715038e-06,1998,45,2.373817187617533e-05,0.7780346870422363,9.052258747033192e-07,0.0008308534161187707,0.0023738669031964877,-1.7875001,0.0005934667257991219
46,1.5561171267108875e-06,1998,46,2.3091381081030704e-05,0.7570362091064453,8.804208277979342e-07,0.0008083768188953401,0.002309648053986686,-0.21249986,0.0005774120134966715
47,1.530896952317562e-06,1998,47,2.2426447685575116e-05,0.7365083694458008,8.52696246056439e-07,0.0007854382856748997,0.0022441093876425706,2.4125,0.0005610273469106426
48,1.502796635577397e-06,1998,48,2.173627399315592e-05,0.7163338661193848,8.216608193833962e-07,0.0007617986993864179,0.0021765677125326227,3.2375002,0.0005441419281331557
49,1.4754650692339055e-06,1998,49,2.107541331497487e-05,0.6972019076347351,7.920293114693776e-07,0.0007391646504402161,0.0021118990012577604,1.4375,0.0005279747503144401
50,1.4516720057144992e-06,1998,50,2.0478373699006625e-05,0.6794602274894714,7.666786814297666e-07,0.0007186004659160973,0.002053144188331707,1.5874999,0.0005132860470829267
51,1.4305027207228702e-06,1998,51,1.9934865122195333e-05,0.6623402237892151,7.446091103702202e-07,0.0006997650489211082,0.0019993287112031665,-0.96249986,0.0004998321778007916
52,1.41273505960271e-06,1998,52,1.945582334883511e-05,0.6466115117073059,7.268720310094069e-07,0.0006830477504990995,0.0019515650014259986,-2.3125,0.00048789125035649965
53,1.396314473822713e-06,1998,53,1.9006696675205607e-05,0.6314420700073242,7.105641657290106e-07,0.0006673238822259009,0.0019066396635025742,-0.21249986,0.00047665991587564355
54,1.3772083775620558e-06,1998,54,1.8529513909015805e-05,0.6162477135658264,6.909005492161667e-07,0.000650786270853132,0.001859389345294663,3.5375,0.00046484733632366575
55,1.354469191028329e-06,1998,55,1.8014205124927685e-05,0.6009818315505981,6.672478320979279e-07,0.0006331246695481241,0.0018089276272803547,3.9125,0.0004522319068200887
56,1.3325557119969744e-06,1998,56,1.7521746485726908e-05,0.5867823958396912,6.449464535762671e-07,0.0006162478821352124,0.0017607082346720356,1.8874999,0.0004401770586680089
57,1.3136836969351862e-06,1998,57,1.7073780327336866e-05,0.5754444599151611,6.258641747081128e-07,0.0006008019554428756,0.0017165770155510734,4.3625,0.00042914425388776835
58,1.2974028322787492e-06,1998,58,1.6664338545524515e-05,0.5689094662666321,6.097855020925635e-07,0.0005865858984179795,0.0016759597097656558,5.0375,0.00041898992744141396
59,1.2828980970880366e-06,1998,59,1.6289024642901495e-05,0.5473124384880066,5.962666591585729e-07,0.0005735323647968472,0.0016386638994195636,2.5625,0.0004096659748548909
60,1.2653362091441522e-06,1998,60,1.5879648344707675e-05,0.5356189012527466,5.783674623671686e-07,0.0005594270187430084,0.0015983629106943098,3.8375,0.00039959072767357744
61,1.2471417676351848e-06,1998,61,1.5466906916117296e-05,0.5235406160354614,5.595038601313718e-07,0.000545225921086967,0.0015577883459627628,6.1625,0.0003894470864906907
62,1.2383444527586107e-06,1998,62,1.517483815405285e-05,0.5125073790550232,5.519265187103882e-07,0.0005348866689018905,0.001528247625433973,6.6125,0.00038206190635849325
63,1.2393491033435566e-06,1998,63,1.5013301890576257e-05,0.5008771419525146,5.568662118093926e-07,0.0005288284155540168,0.0015109383301543339,5.1125,0.00037773458253858346
64,1.2197517662571043e-06,1998,64,1.4602536793972833e-05,0.4903039932250977,5.366120490180036e-07,0.0005148587515577674,0.0014710250044507641,5.7875,0.00036775625111269103
65,1.3249127732706256e-06,1998,65,1.5653326045139693e-05,0.4916456937789917,6.56893348605081e-07,0.000547221687156707,0.0015634905347334488,7.5125,0.0003908726336833622
66,1.7809900327847572e-06,1998,66,2.0956773369107395e-05,0.5285815596580505,1.1829492905235384e-06,0.0007160615641623735,0.0020458901833210674,7.1375,0.0005114725458302668
67,2.1219168502284447e-06,1998,67,2.501045855751727e-05,0.5351345539093018,1.5882955040069646e-06,0.0008479189709760249,0.0024226256313600713,5.7125,0.0006056564078400178
68,2.1784487671538955e-06,1998,68,2.564995338616427e-05,0.5674580335617065,1.6574349501752297e-06,0.0008701264159753919,0.0024860754742154056,4.5875,0.0006215188685538514
69,2.2204492324817693e-06,1998,69,2.6088348022312854e-05,0.4695915579795837,1.7031818515533812e-06,0.0008850023150444031,0.002528578042984009,2.3375,0.0006321445107460022
70,2.0980144199711503e-06,1998,70,2.453257911838591e-05,0.4665669798851013,1.556135430291761e-06,0.000834889302495867,0.0023853980071310487,4.6625,0.0005963495017827622
71,2.1477633254107786e-06,1998,71,2.5005792849697173e-05,0.4583235383033752,1.5990921156117108e-06,0.0008500782423652709,0.002428794978186488,6.9125,0.000607198744546622
72,2.380224486842053e-06,1998,72,2.767910518741701e-05,0.5231512784957886,1.845574615799705e-06,0.0009368287282995881,0.0026766535094273946,5.7875,0.0006691633773568486
73,3.412639671296347e-06,1998,73,3.978497989010066e-05,1.0243818759918213,2.953104512926075e-06,0.0013302398147061467,0.003800685184874705,5.0375,0.0009501712962186763
74,6.318171472230461e-06,1998,74,7.42960037314333e-05,0.5700567364692688,6.0916386246390175e-06,0.002457366790622473,0.007021047973207067,7.2125,0.0017552619933017667
75,7.5000170909333966e-06,1998,75,8.845710544846952e-05,0.5909081697463989,7.3246164902229785e-06,0.0029269536025822163,0.008362724578806333,9.3875,0.0020906811447015832
76,6.997825039434247e-06,1998,76,8.253936539404094e-05,0.5567982196807861,6.7052969825454065e-06,0.002736269263550639,0.007817912181573254,9.6125,0.0019544780453933136
77,5.350949777493952e-06,1998,77,6.278003274928778e-05,0.5034793615341187,4.883960627921624e-06,0.002089096698909998,0.005968847711171423,1.8874999,0.0014922119277928558
78,4.5072702050674715e-06,1998,78,5.254731877357699e-05,0.47537761926651,3.944059244531672e-06,0.0017532807542011142,0.005009373583431755,-0.7375001,0.0012523433958579388
79,3.916191417374648e-06,1998,79,4.535016705631279e-05,0.4535616338253021,3.285339971625945e-06,0.0015170604456216095,0.004334458416061742,5.1875,0.0010836146040154354
80,4.420866389409639e-06,1998,80,5.106157914269716e-05,0.4755789637565613,3.7348881960497238e-06,0.0017030899180099368,0.004865971194314106,7.5875,0.0012164927985785264
81,9.89292766462313e-06,1998,81,0.00011508070019772275,1.5012423992156982,9.044237231137233e-06,0.0037963078357279296,0.010846593816365513,6.1625,0.0027116484540913783
82,1.5031340808491226e-05,1998,82,0.00017554439546074716,0.777349591255188,1.3961891454528086e-05,0.005777801852673292,0.016508005293352265,2.3375,0.004127001323338066
83,8.877891559677664e-06,1998,83,0.00010290780483046548,0.5863115787506104,7.848643690522293e-06,0.003397865919396281,0.009708188341132231,4.2125,0.002427047085283058
84,6.69939981889911e-06,1998,84,7.703771552769466e-05,0.5562071800231934,5.659189355355919e-06,0.0025497416500002146,0.007284976142857756,5.4875,0.001821244035714439
85,5.556601990974741e-06,1998,85,6.345710426103324e-05,0.4799248278141022,4.509853170020507e-06,0.0021048628259450197,0.006013893788414343,3.6875,0.0015034734471035857
86,4.6919312808313415e-06,1998,86,5.318652983987704e-05,0.4728197455406189,3.648892288765637e-06,0.0017689410597085953,0.00505411731345313,5.8625,0.0012635293283632825
87,7.725606337771751e-06,1998,87,8.788356353761628e-05,0.5945824384689331,6.285159088292858e-06,0.0028997599147260193,0.008285028327788628,9.4625,0.002071257081947157
88,1.3382677025219893e-05,1998,88,0.00015350352623499933,0.7050986886024475,1.119418357120594e-05,0.005043821409344672,0.01441091831241335,11.9375,0.0036027295781033376
89,7.90123795013642e-06,1998,89,9.019049321068452e-05,0.5385034680366516,6.243844381970121e-06,0.0029781302437186237,0.008508943553481783,11.262501,0.0021272358883704457
90,5.785552730230847e-06,1998,90,6.566875526914373e-05,0.4744893908500672,4.3212035052420114e-06,0.002176672453060746,0.006219064151602133,8.0375,0.0015547660379005331
91,4.720307970274007e-06,1998,91,5.3234729421092204e-05,0.4417562484741211,3.3530279779370176e-06,0.0017700265161693094,0.005057218617626599,2.4125,0.0012643046544066497
92,4.060145784023916e-06,1998,92,4.549816731014289e-05,0.42110708355903625,2.7515411602507807e-06,0.0015171105042099953,0.004334601440599987,5.2625,0.0010836503601499967
93,3.5439143175608483e-06,1998,93,3.9447502786060795e-05,0.40301457047462463,2.2857982457935573e-06,0.0013194286730140448,0.0037697962086115566,8.0375,0.0009424490521528891
94,3.119535222140257e-06,1998,94,3.449331416049972e-05,0.38728219270706177,1.908583726617508e-06,0.0011577197583392262,0.003307770738112075,9.9875,0.0008269426845280188
95,2.806833435897716e-06,1998,95,3.082222610828467e-05,0.3777773082256317,1.6327518324033008e-06,0.00103751290589571,0.0029643225882734574,5.2625,0.0007410806470683644
96,2.598263108666288e-06,1998,96,2.834880069713108e-05,0.3660516142845154,1.447317913516599e-06,0.0009563833009451627,0.0027325237169861794,3.3874998,0.0006831309292465448
97,2.542964466556441e-06,1998,97,2.7647472961689342e-05,0.3628024756908417,1.3822675555275057e-06,0.0009331045439466834,0.00266601298270481,6.7625,0.0006665032456762025
98,2.7496316761244093e-06,1998,98,3.002903031301685e-05,0.3651935160160065,1.5125215213629415e-06,0.0010105216642841695,0.002887204755097627,9.6875,0.0007218011887744068
99,2.8132405986980306e-06,1998,99,3.080879105255008e-05,0.3586828410625458,1.5354604556705453e-06,0.0010359027655795217,0.002959722187370062,10.2125,0.0007399305468425155
100,2.5103579446295043e-06,1998,100,2.7311605663271617e-05,0.3464929759502411,1.2934028745803516e-06,0.0009219064959324896,0.0026340185598071135,11.9375,0.0006585046399517784
101,2.2504818844026886e-06,1998,101,2.433753979858011e-05,0.3377193510532379,1.0889183386098014e-06,0.0008249274105764924,0.0023569354587899783,13.512501,0.0005892338646974946
102,2.098858431054396e-06,1998,102,2.2634851120528765e-05,0.3626398146152496,9.656753263698192e-07,0.0007691404316574335,0.00219754409044981,10.8875,0.0005493860226124525
103,2.0093584680580534e-06,1998,103,2.169002254959196e-05,0.32112574577331543,8.893988479030668e-07,0.0007381323957815766,0.002108949702233076,10.5125,0.000527237425558269
104,1.849888690230728e-06,1998,104,1.9887387679773386e-05,0.3143070638179779,7.688305458941612e-07,0.000679012737236917,0.0019400363921054772,11.637501,0.0004850090980263693
105,1.7246378547497445e-06,1998,105,1.8470529539627026e-05,0.3120477497577667,6.747628162884212e-07,0.0006323583074845374,0.0018067380213843925,9.6125,0.00045168450534609813
106,1.6401820630562725e-06,1998,106,1.7538870451971892e-05,0.3121598064899445,6.099446636653738e-07,0.0006016152328811586,0.001718900665374739,9.7625,0.00042972516634368475
107,1.5804280337761156e-06,1998,107,1.6914456864469685e-05,0.3153062760829925,5.625730068459234e-07,0.0005810176371596754,0.001660050391884787,11.3375,0.00041501259797119673
108,1.5114875395738638e-06,1998,108,1.618002715986222e-05,0.2902250587940216,5.11449911755335e-07,0.0005568337510339916,0.0015909535743828332,12.237499,0.0003977383935957083
109,1.4258209830586566e-06,1998,109,1.5217648979160003e-05,0.29659202694892883,4.520196910107188e-07,0.0005251294351182878,0.0015003698146236796,12.5375,0.0003750924536559199
110,1.5572320535284234e-06,1998,110,1.7140779164037667e-05,0.5022804141044617,5.193638799028122e-07,0.0005885108257643878,0.0016814595021839654,12.4625,0.00042036487554599134
111,3.1502070214628475e-06,1998,111,3.9157101127784706e-05,1.0256165266036987,1.4046523801880542e-06,0.0013148966245353222,0.0037568474986723493,11.112499,0.0009392118746680873
112,1.3861654224456286e-05,1998,112,0.0001887632388388738,1.8497465848922732,7.219961844384669e-06,0.0062619661912322044,0.017891331974949156,7.8125,0.004472832993737289
113,2.1314785044523887e-05,1998,113,0.00029752968112006783,1.1357746124267578,1.1081780030508527e-05,0.00986534170806408,0.0281866905944688,7.0625,0.0070466726486172
114,1.1658533367153724e-05,1998,114,0.0001622680720174685,0.8882039785385132,5.7208426369470536e-06,0.005376096349209547,0.01536027528345585,9.3125,0.0038400688208639626
115,9.906741979648359e-06,1998,115,0.00013835639401804656,0.7264202833175659,4.67186282548937e-06,0.0045800646767020226,0.013085899076291494,6.8375,0.0032714747690728734
116,7.3284377322124774e-06,1998,116,0.00010227318125544116,0.4943322241306305,3.2841878692124737e-06,0.00338997645303607,0.009685647008674485,10.2125,0.0024214117521686213
117,5.044441422796808e-06,1998,117,6.982815102674067e-05,0.3966703712940216,2.1054386252217228e-06,0.002322759246453643,0.006636454989867552,13.4375,0.001659113747466888
118,3.866967290377944e-06,1998,118,5.294336733641103e-05,0.36014178395271296,1.5011306686574244e-06,0.0017667670035734773,0.005047905724495649,8.1875,0.0012619764311239123
119,3.3393114335922287e-06,1998,119,4.53319116786588e-05,0.3586024940013885,1.22176686545572e-06,0.0015160448383539915,0.004331556681011405,5.1125,0.0010828891702528512
120,2.9911791443737457e-06,1998,120,4.0271133912028745e-05,0.3219868242740631,1.0358401141274951e-06,0.0013494158629328012,0.0038554738940937182,6.6125,0.0009638684735234296
121,2.7094347387901507e-06,1998,121,3.6089095374336466e-05,0.3396602272987366,8.866822440722898e-07,0.0012117009609937668,0.003462002745696477,6.9875,0.0008655006864241192
122,2.5478686893620757e-06,1998,122,3.372478386154398e-05,0.3210498690605164,7.956904823913645e-07,0.0011339789489284158,0.003239939854081188,8.9375,0.000809984963520297
123,2.311526486664661e-06,1998,123,3.0234266887418926e-05,0.2901007235050201,6.784946435800521e-07,0.001019424176774919,0.0029126405050711973,11.9375,0.0007281601262677993
124,2.0478742044360843e-06,1998,124,2.630436574690975e-05,0.2788345515727997,5.560250428970903e-07,0.000890239782165736,0.0025435422347592457,12.237499,0.0006358855586898114
125,1.84633336175466e-06,1998,125,2.33155024034204e-05,0.27284377813339233,4.6390155716835574e-07,0.0007918751216493548,0.0022625003475695853,11.862499,0.0005656250868923963
126,1.7191711094710629e-06,1998,126,2.141738514183089e-05,0.2741589844226837,4.043126864416991e-07,0.0007290973444469272,0.0020831352698483636,6.9125,0.0005207838174620909
127,1.62661342528736e-06,1998,127,2.0054494598298334e-05,0.2579762637615204,3.60565252321976e-07,0.0006841184804216027,0.001954624229776008,9.4625,0.000488656057444002
128,1.5079515378602082e-06,1998,128,1.8279166397405785e-05,0.2515420913696289,3.0953401619626675e-07,0.0006256859633140267,0.0017876741808972192,13.5875,0.0004469185452243048
129,1.4059476143302163e-06,1998,129,1.6755846445448693e-05,0.2547820210456848,2.668488150447957e-07,0.0005753618315793574,0.0016438909473695926,12.237499,0.00041097273684239814
130,1.4340715779326274e-06,1998,130,1.735398473101668e-05,0.35499781370162964,2.703233121792437e-07,0.0005951946950517595,0.0017005562715764558,10.5125,0.00042513906789411394
131,1.806372210921836e-06,1998,131,2.3730166503810324e-05,0.4837254583835602,3.874048104535177e-07,0.0008064877474680543,0.002304250707051584,7.0625,0.000576062676762896
132,2.676654730748851e-06,1998,132,3.860611832351424e-05,0.509821891784668,6.581603884114885e-07,0.0012998661259189248,0.003713903216911214,7.1375,0.0009284758042278035
133,3.894951532856794e-06,1998,133,5.95623023400549e-05,0.5749194622039795,1.021773528009362e-06,0.0019958806224167347,0.005702516064047813,10.0625,0.0014256290160119534
134,4.3334607653378035e-06,1998,134,6.765542639186606e-05,0.3781640827655792,1.1318738870613743e-06,0.002265672432258725,0.006473349806453501,10.2875,0.0016183374516133752
135,3.622648364398629e-06,1998,135,5.586753468378447e-05,0.3762234747409821,8.918268576962873e-07,0.0018750784220173953,0.005357366920049701,11.112499,0.0013393417300124253
136,3.1040101475809934e-06,1998,136,4.7396930312970646e-05,0.3067079186439514,7.208849410744733e-07,0.0015948216896504164,0.00455663339900119,13.5875,0.0011391583497502974
137,2.526716571082943e-06,1998,137,3.7759637052658945e-05,0.2785485982894897,5.419909143711266e-07,0.0012753538321703672,0.0036438680919153353,14.262501,0.0009109670229788338
138,2.17507295019459e-06,1998,138,3.1898976885713644e-05,0.27705591917037964,4.3322947362867136e-07,0.0010806636419147253,0.003087610405470644,11.487499,0.000771902601367661
139,1.9476426587061724e-06,1998,139,2.8203137844684527e-05,0.2548019587993622,3.6366836297929694e-07,0.0009581766789779068,0.002737647654222591,13.2125,0.0006844119135556478
140,1.7070327658075257e-06,1998,140,2.421052340650931e-05,0.2373944967985153,2.9450700367306126e-07,0.0008258369634859264,0.0023595341813883613,15.5375,0.0005898835453470903
141,1.4875727174512574e-06,1998,141,2.0537674572551623e-05,0.2261062264442444,2.346491214666457e-07,0.0007039670017547905,0.002011334290727973,16.8875,0.0005028335726819932
142,1.3173695379009589e-06,1998,142,1.7676258721621707e-05,0.21790190041065216,1.8962697367896908e-07,0.0006087051588110626,0.0017391575966030361,15.4625,0.00043478939915075904
143,1.2009694501102786e-06,1998,143,1.5712239473941736e-05,0.2117592990398407,1.5872835490426948e-07,0.0005430668825283647,0.0015516196643667562,12.387501,0.00038790491609168906
144,1.11773499611445e-06,1998,144,1.430981410521781e-05,0.20676539838314054,1.365595210245374e-07,0.0004961850354447961,0.0014176715298422746,12.387501,0.00035441788246056864
145,1.043530573952012e-06,1998,145,1.3043668332102245e-05,0.2020437866449356,1.1751800599313354e-07,0.00045396381756290793,0.0012970394787511657,15.3125,0.00032425986968779143
146,9.718977480588364e-07,1998,146,1.1802923836512493e-05,0.19972234964370728,1.002812481942783e-07,0.0004126337298657745,0.001178953513902213,17.9375,0.00029473837847555326
147,9.050705216395729e-07,1998,147,1.0638489584380297e-05,0.19302064180374146,8.528247974481927e-08,0.0003737915540114045,0.001067975868604013,19.3625,0.00026699396715100326
148,8.528508601557404e-07,1998,148,9.744990165927447e-06,0.18934571743011475,7.41954693239677e-08,0.000343863561283797,0.0009824673179537058,17.712502,0.00024561682948842645
149,8.232915433836752e-07,1998,149,9.318272532254925e-06,0.18644532561302185,6.815874797894138e-08,0.0003295192145742476,0.0009414834702121361,13.4375,0.00023537086755303401
150,7.988817856130481e-07,1998,150,8.977786819741597e-06,0.1836848855018616,6.325023349518233e-08,0.00031814738758839667,0.0009089925359668477,15.5375,0.00022724813399171192
151,7.751913813081045e-07,1998,151,8.624469046480954e-06,0.18091946840286252,5.855693174794396e-08,0.0003063604235649109,0.0008753154958997454,17.037498,0.00021882887397493635
152,7.534187034252681e-07,1998,152,8.282422641059384e-06,0.1782006472349167,5.420034909775496e-08,0.00029489019652828574,0.000842543418652245,16.4375,0.00021063585466306125
153,7.345864219132636e-07,1998,153,8.001926289580298e-06,0.1804555356502533,5.074412001704332e-08,0.0002855313359759748,0.0008158038170742138,17.5625,0.00020395095426855344
154,7.163870350268553e-07,1998,154,7.744852155155968e-06,0.17298507690429688,4.789223595480507e-08,0.000277031387668103,0.0007915182504802942,19.8875,0.00019787956262007356
155,6.996913270995719e-07,1998,155,7.5305410973669495e-06,0.19046445190906525,4.5993260755494696e-08,0.00026999751571565866,0.0007714214734733105,20.712502,0.00019285536836832762
156,6.885717311888584e-07,1998,156,7.548973826487781e-06,0.1831983327865601,4.640446604753379e-08,0.00027097860584035516,0.0007742245881153005,20.787498,0.00019355614702882512
157,6.727109962412214e-07,1998,157,7.389435268123634e-06,0.1662575900554657,4.5432347661744637e-08,0.00026584448642097414,0.0007595556754884976,22.0625,0.0001898889188721244
158,6.588922474293213e-07,1998,158,7.2428119892720125e-06,0.1959277838468552,4.4803769583268156e-08,0.0002610429073683917,0.0007458368781954049,19.662498,0.00018645921954885122
159,6.53422034702089e-07,1998,159,7.517112408095273e-06,0.18577700853347776,4.776628514946424e-08,0.00027093267999589443,0.0007740933714168413,20.1125,0.00019352334285421032
160,6.429286258935463e-07,1998,160,7.524147804360837e-06,0.1626725196838379,4.820680388206711e-08,0.0002715408045332879,0.0007758308700951083,20.412498,0.00019395771752377707
161,6.507128205157643e-07,1998,161,8.44543319544755e-06,0.32719624042510986,5.868701791200693e-08,0.00030417073867283767,0.0008690592533509648,17.9375,0.0002172648133377412
