,Year,DON_Loss(gN/day/m2)_Delineated_Average,NH4_Loss(gN/day/m2)_Delineated_Average,NO3_Loss(gN/day/m2)_Delineated_Average,Runoff_All(mm/day)_Delineated_Average,DOC_Loss(gC/day/m2)_Delineated_Average,Step,DOC_mg/L,Sfc_Water_Temp_C,CO2
43,1998,5.11135658598505e-06,3.292816188604775e-07,5.025030418437382e-07,0.0153537252917885,0.00016964522365015,43,0.0004847006390004286,2.7875,0.00012117515975010715
44,1998,4.939364316669526e-06,3.219559232547909e-07,4.880085384684207e-07,0.0143883973360061,0.00016391969984397292,44,0.0004683419995542084,-1.4125001,0.0001170854998885521
45,1998,4.806033302884316e-06,3.167708086948551e-07,4.764051197980735e-07,0.0136860962957143,0.0001594873028807342,45,0.0004556780082306692,-1.7875001,0.0001139195020576673
46,1998,4.674621777667198e-06,3.114382707281038e-07,4.6502563577632827e-07,0.0129831545054912,0.00015512105892412364,46,0.0004432030254974962,-0.21249986,0.00011080075637437405
47,1998,4.529596935753943e-06,3.050405723570293e-07,4.5270482473824813e-07,0.0121741881594061,0.00015030737267807126,47,0.00042944963622306077,2.4125,0.00010736240905576519
48,1998,4.372561306809075e-06,2.9768980880362506e-07,4.39431460108608e-07,0.0113040469586849,0.000145095051266253,48,0.0004145572893321514,3.2375002,0.00010363932233303785
49,1998,4.226903456583386e-06,2.908944907176192e-07,4.269031705916859e-07,0.0105456346645951,0.00014025579730514437,49,0.00040073084944326965,1.4375,0.00010018271236081741
50,1998,4.099616035091458e-06,2.851807039405685e-07,4.1578502418815333e-07,0.0099058467894792,0.00013603063416667285,50,0.00038865895476192247,1.5874999,9.716473869048062e-05
51,1998,3.986055162386037e-06,2.801418474973616e-07,4.056707041399932e-07,0.0093748206272721,0.00013225735165178776,51,0.0003778781475765365,-0.96249986,9.446953689413412e-05
52,1998,3.892905624525156e-06,2.762588451332704e-07,3.971879323216854e-07,0.0089656095951795,0.00012916314881294966,52,0.00036903756803699907,-2.3125,9.225939200924977e-05
53,1998,3.803181243711151e-06,2.724434864376235e-07,3.890285142915673e-07,0.008564586751163,0.00012618697655852884,53,0.00036053421873865385,-0.21249986,9.013355468466346e-05
54,1998,3.697515012390795e-06,2.674295558335871e-07,3.796051544213697e-07,0.0080649610608816,0.00012269016588106751,54,0.00035054333108876435,3.5375,8.763583277219109e-05
55,1998,3.578461246434017e-06,2.613772949189297e-07,3.689781635785039e-07,0.0075188116170465,0.00011874750634888188,55,0.00033927858956823395,3.9125,8.481964739205849e-05
56,1998,3.470255705906311e-06,2.559865208695556e-07,3.591447637063539e-07,0.007057636976242,0.00011515906953718512,56,0.0003290259129633861,1.8874999,8.225647824084652e-05
57,1998,3.3746562166925287e-06,2.514943560072425e-07,3.5049868074565893e-07,0.0066451127640903,0.00011199992150068284,57,0.0003199997757162367,4.3625,7.999994392905917e-05
58,1998,3.2972639019135386e-06,2.483491243765457e-07,3.439151612383285e-07,0.0062554101459681,0.000109445427369792,58,0.0003127012210565486,5.0375,7.817530526413715e-05
59,1998,3.2368027405027533e-06,2.463755777171173e-07,3.388410618754279e-07,0.0059296363033354,0.0001074435203918256,59,0.00030698148683378743,2.5625,7.674537170844686e-05
60,1998,3.147167262795847e-06,2.421562896870455e-07,3.303324831449572e-07,0.005602169316262,0.00010448274406371638,60,0.00029852212589633254,3.8375,7.463053147408314e-05
61,1998,3.050048462682753e-06,2.3731772103019466e-07,3.210988381852076e-07,0.0052502853795886,0.00010128339636139572,61,0.0002893811324611306,6.1625,7.234528311528265e-05
62,1998,3.029090294148773e-06,2.384818458267546e-07,3.20135285392098e-07,0.0050869835540652,0.00010061218199552968,62,0.0002874633771300848,6.6125,7.18658442825212e-05
63,1998,3.079852604059852e-06,2.453247134326375e-07,3.267228123604582e-07,0.0049673784524202,0.00010231487976852804,63,0.00029232822791008014,5.1125,7.308205697752004e-05
64,1998,2.9829695904481923e-06,2.4051760760812613e-07,3.17092457180479e-07,0.0046834219247102,9.912306995829569e-05,64,0.00028320877130941626,5.7875,7.080219282735406e-05
65,1998,3.7783079278597134e-06,3.091888345352345e-07,4.042641990054108e-07,0.0065316818654537,0.00012558355228975415,65,0.0003588101493992976,7.5125,8.97025373498244e-05
66,1998,7.3051978688454255e-06,5.993156833028479e-07,7.79845947818103e-07,0.01329324580729,0.00024285582185257224,66,0.000693873776721635,7.1375,0.00017346844418040876
67,1998,1.0538969945628196e-05,8.661326660330815e-07,1.1159522728121374e-06,0.0191710498183965,0.0003504492633510381,67,0.0010012836095743946,5.7125,0.00025032090239359865
68,1998,1.1632073437795045e-05,9.582611255609663e-07,1.2193753491374082e-06,0.0224594306200742,0.0003868786152452231,68,0.0011053674721292089,4.5875,0.0002763418680323022
69,1998,1.2417917787388433e-05,1.0248904800391756e-06,1.2890826610600925e-06,0.0226440411061048,0.0004130580346100032,69,0.0011801658131714377,2.3375,0.0002950414532928594
70,1998,1.1640634511422832e-05,9.62550075200852e-07,1.1959004950767849e-06,0.0210060328245162,0.00038728112122043967,70,0.0011065174892012563,4.6625,0.0002766293723003141
71,1998,1.2397722457535563e-05,1.0279178468408643e-06,1.2602888546098256e-06,0.0233225710690021,0.0004126171406824142,71,0.0011789061162354691,6.9125,0.0002947265290588673
72,1998,1.4877320609230082e-05,1.236023081219173e-06,1.4961768783905427e-06,0.0288384798914194,0.0004952738527208567,72,0.0014150681506310192,5.7875,0.0003537670376577548
73,1998,2.575013422756456e-05,2.1498090063687414e-06,2.5621231998229632e-06,0.0909152776002883,0.0008574413950555027,73,0.002449832557301436,5.0375,0.000612458139325359
74,1998,5.73889774386771e-05,4.802958301297622e-06,5.644490101985866e-06,0.1368224471807479,0.0019116840558126,74,0.005461954445178858,7.2125,0.0013654886112947145
75,1998,7.232477946672589e-05,6.063617092877394e-06,7.012957212282345e-06,0.1759898215532302,0.002409518463537,75,0.006884338467248572,9.3875,0.001721084616812143
76,1998,6.710955494781956e-05,5.622490334644681e-06,6.401441623893334e-06,0.1551310718059539,0.0022354829125106,76,0.006387094035744572,9.6125,0.001596773508936143
77,1998,4.874204023508355e-05,4.08512005378725e-06,4.58002205050434e-06,0.109029434621334,0.0016225965227931,77,0.004635990065123143,1.8874999,0.0011589975162807859
78,1998,3.922931136912666e-05,3.2922155241976725e-06,3.639874421423883e-06,0.0854822695255279,0.0013053328730165,78,0.0037295224943328575,-0.7375001,0.0009323806235832144
79,1998,3.266035855631344e-05,2.744116045505507e-06,2.992213239849661e-06,0.0693082958459854,0.0010866353986784,79,0.003104672567652572,5.1875,0.000776168141913143
80,1998,3.84781087632291e-05,3.24391089634446e-06,3.4802865229721647e-06,0.0897809490561485,0.00128043605946,80,0.0036583887413142863,7.5875,0.0009145971853285716
81,1998,0.00010006770025938748,8.474392416246701e-06,8.905997674446553e-06,0.3811483979225158,0.003330988343805,81,0.009517109553728573,6.1625,0.002379277388432143
82,1998,0.00015436901594512165,1.3083702469884884e-05,1.355865788355004e-05,0.3905410170555115,0.0051353760063648,82,0.014672502875328,2.3375,0.003668125718832
83,1998,8.376124606002122e-05,7.116841970855603e-06,7.250223916344112e-06,0.2013252526521682,0.0027812435291707,83,0.007946410083344858,4.2125,0.0019866025208362145
84,1998,6.014863174641505e-05,5.119650722917868e-06,5.135324954608223e-06,0.1444996744394302,0.0019957865588366,84,0.005702247310961715,5.4875,0.0014255618277404288
85,1998,4.80054623039905e-05,4.091303253517253e-06,4.045503828820074e-06,0.1088528633117675,0.0015921383164823,85,0.004548966618520858,3.6875,0.0011372416546302144
86,1998,3.899601870216429e-05,3.327594640722964e-06,3.2431291856482858e-06,0.0877064689993858,0.0012931122910231,86,0.003694606545780286,5.8625,0.0009236516364450715
87,1998,7.22611730452627e-05,6.19641286903061e-06,5.913028871873394e-06,0.2008509784936905,0.0023971104528754,87,0.006848887008215429,9.4625,0.0017122217520538572
88,1998,0.00013267851318232715,1.1352648471074644e-05,1.0673115866666194e-05,0.3332511484622955,0.0044035776518285,88,0.012581650433795714,11.9375,0.0031454126084489286
89,1998,7.292148075066507e-05,6.225095603440423e-06,5.738339496019762e-06,0.1740685999393463,0.0024180756881833,89,0.006908787680523714,11.262501,0.0017271969201309286
90,1998,5.066898665972985e-05,4.310248641559156e-06,3.901319360011257e-06,0.1166576147079467,0.0016796209383755,90,0.004798916966787144,8.0375,0.001199729241696786
91,1998,3.953277337132022e-05,3.356328306836076e-06,2.987240804941393e-06,0.08872602134943,0.0013100159121677,91,0.0037429026061934286,2.4125,0.0009357256515483571
92,1998,3.2650357752572745e-05,2.767088290056563e-06,2.4226578716479708e-06,0.0715690031647682,0.0010818906594067,92,0.0030911161697334292,5.2625,0.0007727790424333573
93,1998,2.7383881388232112e-05,2.315313622602844e-06,1.9937542674597357e-06,0.0586064271628856,0.00090759719023481,93,0.0025931348292423145,8.0375,0.0006482837073105786
94,1998,2.316931204404682e-05,1.952103502844693e-06,1.6525531236766255e-06,0.0483738332986831,0.0007682949653826654,94,0.002195128472521901,9.9875,0.0005487821181304753
95,1998,2.0104544091736894e-05,1.6888498066691682e-06,1.4059108934816322e-06,0.041323535144329,0.0006667593843303621,95,0.0019050268123724631,5.2625,0.0004762567030931158
96,1998,1.804012936190702e-05,1.5123276853046264e-06,1.23874417568004e-06,0.0364258401095867,0.0005983443697914481,96,0.0017095553422612805,3.3874998,0.0004273888355653201
97,1998,1.7595810277271084e-05,1.4736381217517192e-06,1.1869315130752511e-06,0.0360194034874439,0.0005837726057507098,97,0.0016679217307163138,6.7625,0.00041698043267907845
98,1998,1.991785211430397e-05,1.665817990215146e-06,1.3184669569454854e-06,0.0417753085494041,0.0006611591670662165,98,0.0018890261916177614,9.6875,0.00047225654790444035
99,1998,2.0715140635729767e-05,1.7253249779969335e-06,1.3424930784822209e-06,0.0422079712152481,0.0006880281143821776,99,0.0019657946125205077,10.2125,0.0004914486531301269
100,1998,1.775947202986572e-05,1.4699073744850466e-06,1.1229543588342494e-06,0.0352458134293556,0.0005903584533371031,100,0.001686738438106009,11.9375,0.00042168460952650227
101,1998,1.528811662865337e-05,1.253903633369191e-06,9.397155054102768e-07,0.0295435395091772,0.0005087919416837394,101,0.0014536912619535413,13.512501,0.00036342281548838533
102,1998,1.3981682059238665e-05,1.135426145992824e-06,8.340224439962185e-07,0.0269444733858108,0.0004656694363802672,102,0.0013304841039436207,10.8875,0.00033262102598590517
103,1998,1.3258299077278934e-05,1.0642140750860565e-06,7.663839483029733e-07,0.0249530579894781,0.00044190080370754,103,0.0012625737248786858,10.5125,0.00031564343121967146
104,1998,1.1777711733884644e-05,9.327451380158892e-07,6.581931870641711e-07,0.0216719210147857,0.0003929093072656542,104,0.0011225980207590122,11.637501,0.00028064950518975304
105,1998,1.0644517715263646e-05,8.316365551763738e-07,5.74864202462777e-07,0.0192745886743068,0.0003553412389010191,105,0.0010152606825743404,9.6125,0.0002538151706435851
106,1998,9.929528459906578e-06,7.651995588275895e-07,5.179614390726783e-07,0.0177710484713315,0.00033170310780406,106,0.0009477231651544572,9.7625,0.0002369307912886143
107,1998,9.486627277510706e-06,7.202502843028924e-07,4.772106194650405e-07,0.0168525967746973,0.0003171968273818493,107,0.0009062766496624266,11.3375,0.00022656916241560666
108,1998,8.925008842197713e-06,6.659453219981515e-07,4.319636275340599e-07,0.0155000258237123,0.0002987315820064396,108,0.0008535188057326847,12.237499,0.00021337970143317118
109,1998,8.1823982327478e-06,5.988926545796858e-07,3.801472701070452e-07,0.0140306027606129,0.00027418028912507,109,0.0007833722546430571,12.5375,0.00019584306366076428
110,1998,1.0167525033466518e-05,7.315019274756196e-07,4.529220518634247e-07,0.0196491088718175,0.0003410845238249749,110,0.0009745272109284998,12.4625,0.00024363180273212495
111,1998,3.1728719477541745e-05,2.249607405246934e-06,1.3547180515161017e-06,0.0893791019916534,0.0010654188226908,111,0.0030440537791165717,11.112499,0.0007610134447791429
112,1998,0.0001817492593545467,1.2707423593383282e-05,7.382876447081799e-06,0.67145174741745,0.0061094840057194,112,0.017455668587769715,7.8125,0.004363917146942429
113,1998,0.0002713095454964787,1.8681694200495255e-05,1.056738165061688e-05,0.7469353079795837,0.0091100111603736,113,0.026028603315353144,7.0625,0.006507150828838286
114,1998,0.0001382972113788128,9.425651114725042e-06,5.156305633136071e-06,0.4113891422748565,0.0046285549178719,114,0.013224442622491143,9.3125,0.003306110655622786
115,1998,0.0001167092050309293,7.869452929298859e-06,4.187605554761831e-06,0.3316375017166137,0.003901184303686,115,0.011146240867674287,6.8375,0.0027865602169185716
116,1998,8.388562855543569e-05,5.584214704867918e-06,2.896859314205358e-06,0.2084605395793914,0.0028020541649311,116,0.008005869042660286,10.2125,0.0020014672606650714
117,1998,5.506395609700121e-05,3.6074643503525294e-06,1.8259385115015905e-06,0.1295971423387527,0.0018397760577499,117,0.005256503022142572,13.4375,0.001314125755535643
118,1998,4.038859333377332e-05,2.608927843539277e-06,1.2883177760159017e-06,0.0925181061029434,0.0013494037557393,118,0.003855439302112286,8.1875,0.0009638598255280715
119,1998,3.384282535989769e-05,2.164504167012637e-06,1.0420637863717277e-06,0.0775053575634956,0.0011306514497846,119,0.003230432713670286,5.1125,0.0008076081784175715
120,1998,2.9452727176249027e-05,1.8679984350455925e-06,8.770787758294318e-07,0.0646660923957824,0.0009841087739914656,120,0.0028117393542613305,6.6125,0.0007029348385653326
121,1998,2.5911656848620623e-05,1.6330945982190317e-06,7.473135497093608e-07,0.0578423701226711,0.0008659730083309114,121,0.0024742085952311754,6.9875,0.0006185521488077939
122,1998,2.394401417404879e-05,1.49941638483142e-06,6.688584335279302e-07,0.0517094358801841,0.0008005520794540644,122,0.0022872916555830413,8.9375,0.0005718229138957603
123,1998,2.097353535646107e-05,1.301914153373218e-06,5.663083015861048e-07,0.0435482151806354,0.0007018221076577902,123,0.0020052060218794005,11.9375,0.0005013015054698501
124,1998,1.7654107068665326e-05,1.0841118864846069e-06,4.598477971740067e-07,0.0356404148042202,0.0005912949563935399,124,0.0016894141611243998,12.237499,0.00042235354028109996
125,1998,1.5162338968366385e-05,9.197360668622424e-07,3.804657922046317e-07,0.0298722889274358,0.0005082990974187851,125,0.0014522831354822432,11.862499,0.0003630707838705608
126,1998,1.3619676792586688e-05,8.182575470527809e-07,3.298503941095987e-07,0.0265047773718833,0.0004567549913190305,126,0.0013050142609115159,6.9125,0.00032625356522787897
127,1998,1.249944034498185e-05,7.436751161549182e-07,2.921802320088318e-07,0.0238004699349403,0.000419453252106905,127,0.0011984378631625858,9.4625,0.00029960946579064645
128,1998,1.1035445822926704e-05,6.482321737166785e-07,2.483477317127836e-07,0.0204464048147201,0.0003707933647092432,128,0.0010594096134549805,13.5875,0.0002648524033637451
129,1998,9.816279089136517e-06,5.68500809094985e-07,2.1241335446120507e-07,0.0178714748471975,0.0003301746037323028,129,0.0009433560106637223,12.237499,0.00023583900266593058
130,1998,1.0505941645533312e-05,6.017857572260255e-07,2.187149306109859e-07,0.020199766382575,0.00035365813528187573,130,0.0010104518150910735,10.5125,0.0002526129537727684
131,1998,1.639297988731414e-05,9.337279038845736e-07,3.291663119853183e-07,0.0369478464126586,0.0005520794657059014,131,0.0015773699020168613,7.0625,0.0003943424755042153
132,1998,3.0248804250732064e-05,1.7156863805212197e-06,5.86730550367065e-07,0.074046567082405,0.0010191515320912,132,0.0029118615202605716,7.1375,0.0007279653800651429
133,1998,5.017079820390791e-05,2.831802930813865e-06,9.396258064953144e-07,0.1314788460731506,0.0016913573490455,133,0.004832449568701429,10.0625,0.0012081123921753572
134,1998,5.7261655456386507e-05,3.200976152584189e-06,1.0349428976041963e-06,0.1370200216770172,0.0019309893250465,134,0.0055171123572757145,10.2875,0.0013792780893189286
135,1998,4.590729440678842e-05,2.5426313641219167e-06,8.001474611774029e-07,0.1081433817744255,0.0015484594041481,135,0.004424169726137429,11.112499,0.0011060424315343573
136,1998,3.788554749917239e-05,2.070372829621192e-06,6.36092011063738e-07,0.0853319242596626,0.0012789270840585,136,0.003654077383024286,13.5875,0.0009135193457560715
137,1998,2.9053295293124396e-05,1.5612217794114258e-06,4.694914537139994e-07,0.0629642680287361,0.00098181061912328,137,0.002805173197495086,14.262501,0.0007012932993737715
138,1998,2.38204411289189e-05,1.2590401183842914e-06,3.705762310346472e-07,0.0505648180842399,0.0008055503130890429,138,0.0023015723231115514,11.487499,0.0005753930807778878
139,1998,2.0523188140941784e-05,1.0644099575074506e-06,3.073722041335714e-07,0.0423059836030006,0.0006947892834432423,139,0.001985112238409264,13.2125,0.000496278059602316
140,1998,1.6986179616651498e-05,8.602228263043799e-07,2.449773148782697e-07,0.0337601788341999,0.0005759689956903458,140,0.0016456257019724166,15.5375,0.00041140642549310414
141,1998,1.3773827959084883e-05,6.767153877262899e-07,1.91572652852301e-07,0.0263355914503335,0.00046796901733614493,141,0.0013370543352461284,16.8875,0.0003342635838115321
142,1998,1.1306732631055638e-05,5.36819413810008e-07,1.518659615840079e-07,0.0208993777632713,0.000384796381695196,142,0.0010994182334148456,15.4625,0.0002748545583537114
143,1998,9.636978575144894e-06,4.429157627328095e-07,1.249010495030234e-07,0.0173464138060808,0.0003283374535385519,143,0.0009381070101101484,12.387501,0.0002345267525275371
144,1998,8.45436989038717e-06,3.76763694021065e-07,1.0565781849436463e-07,0.0148285552859306,0.00028837317950092256,144,0.0008239233700026359,12.387501,0.00020598084250065898
145,1998,7.389834991045063e-06,3.182764771736402e-07,8.915258575825646e-08,0.0125609142705798,0.0002524925221223384,145,0.0007214072060638241,15.3125,0.00018035180151595602
146,1998,6.355785899359034e-06,2.62538605966256e-07,7.428182158264462e-08,0.0104361986741423,0.00021767386351712048,146,0.00062192532433463,17.9375,0.0001554813310836575
147,1998,5.390812930272659e-06,2.1127524973962866e-07,6.134875718544208e-08,0.0084921717643737,0.000185133219929412,147,0.0005289520569411772,19.3625,0.0001322380142352943
148,1998,4.681093287217664e-06,1.7311759847871144e-07,5.2037780307045984e-08,0.0072356997989118,0.00016113479796331376,148,0.00046038513703803934,17.712502,0.00011509628425950984
149,1998,4.358616024546791e-06,1.5310035905713448e-07,4.7070109587821214e-08,0.0066435975022614,0.00015024765161797404,149,0.000429279004622783,13.4375,0.00010731975115569576
150,1998,4.105546850041719e-06,1.370963786939683e-07,4.303596057297909e-08,0.0061575705185532,0.0001417815510649234,150,0.0004050901458997812,15.5375,0.0001012725364749453
151,1998,3.842050318780821e-06,1.2167065222001838e-07,3.9151473174570135e-08,0.0056606461293995,0.00013296962424647063,151,0.00037991321213277327,17.037498,9.497830303319332e-05
152,1998,3.589997731978656e-06,1.078351843375458e-07,3.555354766149321e-08,0.0052008116617798,0.00012449709174688903,152,0.00035570597641968295,16.4375,8.892649410492074e-05
153,1998,3.3911123864527326e-06,9.645905407751344e-08,3.271676618510355e-08,0.0048560928553342,0.0001178687671199441,153,0.00033676790605698315,17.5625,8.419197651424579e-05
154,1998,3.204612539775553e-06,8.556114039492969e-08,3.028412720595952e-08,0.0044903368689119,0.0001117079664254561,154,0.00031916561835844604,19.8875,7.979140458961151e-05
155,1998,3.0669270927319303e-06,7.638635679541039e-08,2.8705036569931508e-08,0.004321017768234,0.0001072431477950886,155,0.0003064089937002532,20.712502,7.66022484250633e-05
156,1998,3.098683009739034e-06,7.14741119622886e-08,2.89291488542176e-08,0.0043543786741793,0.0001086946576833725,156,0.00031055616480963575,20.787498,7.763904120240894e-05
157,1998,2.985642140629352e-06,6.304234290155365e-08,2.787943564896977e-08,0.0040900828316807,0.00010509230924071744,157,0.00030026374068776416,22.0625,7.506593517194104e-05
158,1998,2.911621777457185e-06,5.6891725108698665e-08,2.7296533033904783e-08,0.0040921717882156,0.00010277991532348096,158,0.0002936569009242313,19.662498,7.341422523105783e-05
159,1998,3.142233481412404e-06,5.701645378053399e-08,2.960642042637573e-08,0.0044669187627732,0.00011125084711238742,159,0.0003178595631782498,20.1125,7.946489079456245e-05
160,1998,3.158792651447584e-06,5.3263352839394436e-08,2.9701286763383905e-08,0.0044072926975786,0.00011217654537176712,160,0.00032050441534790607,20.412498,8.012610383697652e-05
161,1998,3.97603753299336e-06,6.502354210624618e-08,3.878884413666128e-08,0.0066257342696189,0.00014155515236780047,161,0.00040444329247942993,17.9375,0.00010111082311985748
