,NO3_Loss(gN/day/m2)_Delineated_Average,Step,Runoff_All(mm/day)_Delineated_Average,Year,NH4_Loss(gN/day/m2)_Delineated_Average,DON_Loss(gN/day/m2)_Delineated_Average,DOC_Loss(gC/day/m2)_Delineated_Average,DOC_mg/L,Sfc_Water_Temp_C,CO2
0,0.00012777012307196856,0,3.575872898101806,1998,2.636408680700697e-05,0.0011462038382887,0.0384770892560482,0.1099345407315663,2.6374998,0.027483635182891576
1,1.1072408597101456e-05,1,0.7257182002067566,1998,2.5010831450344995e-06,0.00010395875142421572,0.0034605197142809,0.009887199183659715,3.3125,0.002471799795914929
2,7.471725439245347e-06,2,0.4455498456954956,1998,1.7869838302431162e-06,7.136151543818414e-05,0.0023706932552158,0.006773409300616572,0.7624999,0.001693352325154143
3,6.0642614698736e-06,3,0.409570038318634,1998,1.5485579751839396e-06,5.982572474749759e-05,0.001989679178223,0.005684797652065715,0.08749986,0.0014211994130164287
4,5.087493263999932e-06,4,0.3832445740699768,1998,1.3941564702690812e-06,5.212251198827289e-05,0.0017353625735267,0.004958178781504857,3.0875,0.0012395446953762143
5,4.348221409600228e-06,5,0.3589802086353302,1998,1.277756837225752e-06,4.627577436622232e-05,0.0015419683186337,0.004405623767524858,1.2124999,0.0011014059418812145
6,3.822523922281107e-06,6,0.3443387150764465,1998,1.1997989304290968e-06,4.2262268834747374e-05,0.0014092210913076,0.004026345975164571,-6.0625,0.0010065864937911428
7,3.421830342631438e-06,7,0.3327508866786957,1998,1.1442804179750965e-06,3.9256989111891016e-05,0.0013098558411002,0.003742445260286286,-1.6375003,0.0009356113150715715
8,3.0557002901332453e-06,8,0.3136285245418548,1998,1.0838833759407862e-06,3.619452763814479e-05,0.0012082135071977,0.003452038591993429,2.7875,0.0008630096479983572
9,2.7254295673628803e-06,9,0.289691150188446,1998,1.0200259339399054e-06,3.313057459308766e-05,0.0011062122648581,0.003160606471023143,3.7625,0.0007901516177557858
10,2.4431574274785817e-06,10,0.2652384638786316,1998,9.6012513495225e-07,3.031235610251315e-05,0.0010122401872649,0.0028921148207568573,4.3625,0.0007230287051892143
11,2.2567007817997364e-06,11,0.2406390458345413,1998,9.194976087201212e-07,2.8172293241368607e-05,0.0009405228192918004,0.00268720805511943,6.6125,0.0006718020137798575
12,2.115690222126432e-06,12,0.2163527905941009,1998,8.865724225870508e-07,2.6345924197812565e-05,0.0008791067521087825,0.0025117335774536647,5.7125,0.0006279333943634162
13,1.918277348522679e-06,13,0.1945878714323043,1998,8.338373049809888e-07,2.404337647021748e-05,0.0008022202528081834,0.0022920578651662387,5.0375,0.0005730144662915597
14,1.7557332512296853e-06,14,0.1762815117835998,1998,7.897702403170115e-07,2.21062837226782e-05,0.0007375152199529111,0.0021071863427226034,3.9125,0.0005267965856806508
15,1.6134548559421091e-06,15,0.1586634367704391,1998,7.484220532205654e-07,2.0330222469056025e-05,0.0006781945121474564,0.00193769860613559,5.9375,0.0004844246515338975
16,1.483857090534002e-06,16,0.1404484957456588,1998,7.058069968479685e-07,1.859844451246317e-05,0.0006202853401191533,0.0017722438289118666,6.6875,0.00044306095722796665
17,1.372664655718836e-06,17,0.124462753534317,1998,6.678305339846702e-07,1.7074109564418904e-05,0.0005692816339433193,0.0016265189541237695,5.4875,0.0004066297385309424
18,1.2808512792616966e-06,18,0.1124586910009384,1998,6.37235473277542e-07,1.581804099259898e-05,0.000527263677213341,0.0015064676491809744,4.3625,0.0003766169122952436
19,1.207038167194696e-06,19,0.1016277000308036,1998,6.13647387126548e-07,1.4809516869718207e-05,0.0004935226170346141,0.0014100646200988975,2.6374998,0.0003525161550247244
20,1.1375421991033363e-06,20,0.0929869413375854,1998,5.912285701015207e-07,1.38880795930163e-05,0.0004627404559869319,0.0013221155885340913,2.8625002,0.0003305288971335228
21,1.0698352070903638e-06,21,0.0836485102772712,1998,5.66191829420859e-07,1.2945133676112164e-05,0.0004312464152462781,0.001232132614989366,5.7875,0.0003080331537473415
