,DON_Pool(gN/m2)_Delineated_Average,DOC_Pool(gC/m2)_Delineated_Average,NH4_Pool(gN/m2)_Delineated_Average,NO3_Pool(gN/m2)_Delineated_Average,Step,Runoff_All(mm/day)_Delineated_Average,Sfc_Water_Temp_C,Criteria,Condition
1309,4.914794989994594,178.44169616699222,0.6531293477330888,0.017828894779086,1309,0.0146789625287055,20.1125,Meets,Prefire
1310,4.915758882250105,178.6006055559431,0.65692309822355,0.018524357250758572,1310,0.0228963363915681,19.7375,Meets,Prefire
1311,4.916772842407227,178.7625231061663,0.6528334532465252,0.018773722861494285,1311,0.0289148744195699,19.962502,Meets,Prefire
1312,4.91776704788208,178.9225769042969,0.6496922884668623,0.018661487847566573,1312,0.0206045005470514,19.8125,Meets,Prefire
1313,4.918738433292934,179.07580784388952,0.6489178112574987,0.018417533220989143,1313,0.0158549100160598,19.287498,Meets,Prefire
1314,4.919706753322056,179.1952623639788,0.6520453095436095,0.018195730767079716,1314,0.0161652117967605,16.3625,Meets,Prefire
1315,4.920658384050642,179.32053702218192,0.6549203821590969,0.017991193703242574,1315,0.0191527046263217,16.8875,Meets,Prefire
1316,4.921578679765974,179.43877083914623,0.6607199566704886,0.017991948074528002,1316,0.0272080600261688,16.3625,Meets,Prefire
1317,4.922465256282262,179.57606724330358,0.6604679993220738,0.017868486632193713,1317,0.0326065272092819,18.162498,Meets,Prefire
1318,4.923390320369176,179.7108132498605,0.660408352102552,0.017628343775868284,1318,0.0262073744088411,17.9375,Meets,Prefire
1319,4.924303122929165,179.841057913644,0.6653020211628503,0.017637477389403716,1319,0.0295961331576108,17.5625,Meets,Prefire
1320,4.925185952867781,179.9649592808315,0.6702691316604614,0.017745742308241715,1320,0.0514740794897079,17.037498,Meets,Prefire
1321,4.926085812704904,180.09258815220429,0.6719193288258144,0.01779473519751,1321,0.076880469918251,17.4875,Meets,Prefire
1322,4.926979882376535,180.2347128731864,0.6692600675991603,0.01774533119584829,1322,0.0671942830085754,18.6875,Meets,Prefire
1323,4.927917207990374,180.3867449079241,0.6669759324618749,0.017643924802541715,1323,0.0439399294555187,19.4375,Meets,Prefire
1324,4.9288555553981235,180.552978515625,0.6644341349601746,0.017533223809940286,1324,0.0294007770717144,20.5625,Meets,Prefire
1325,4.929816382271903,180.71928841727123,0.6622776389122009,0.017395558367882286,1325,0.0209161769598722,20.412498,Meets,Prefire
1326,4.93076971599034,180.88526044573103,0.6594654066222055,0.017155914434364858,1326,0.0153596866875886,20.4875,Meets,Prefire
1327,4.9317618778773715,181.0602569580078,0.6562675322805132,0.016840262604611144,1327,0.011083978228271,21.3125,Meets,Prefire
1328,4.932778562818255,181.2335859026228,0.6539306470326015,0.016539205930062573,1328,0.0086428923532366,21.087502,Meets,Prefire
1329,4.933764253343855,181.38834272112166,0.6639181716101509,0.017697587609290858,1329,0.0307640731334686,19.587502,Meets,Prefire
1330,4.93476254599435,181.54488699776786,0.6622208442006792,0.018429390287824858,1330,0.1451406180858612,19.8125,Meets,Prefire
1331,4.935808862958636,181.69888087681363,0.6566556436674934,0.018761392150606286,1331,0.1332472115755081,19.287498,Meets,Prefire
1332,4.936851092747281,181.85950142996654,0.6535132442201886,0.018861066283924,1332,0.0799089074134826,19.7375,Meets,Prefire
1333,4.937914099012103,182.02814374651228,0.6512825829642158,0.01882645035428657,1333,0.0515714101493358,20.337502,Meets,Prefire
1334,4.938993113381522,182.20505850655692,0.6505095532962255,0.018832948324935716,1334,0.0381731316447258,20.9375,Meets,Prefire
1335,4.940075874328613,182.38542829241072,0.6480084572519574,0.01870553142258086,1335,0.0288873594254255,21.162498,Meets,Prefire
1336,4.941180092947825,182.56712777273995,0.6458147934504918,0.018470482900738574,1336,0.0203397292643785,21.3125,Meets,Prefire
1337,4.942281927381243,182.74410792759488,0.6441835846219743,0.01814107144517543,1337,0.0152064627036452,20.8625,Meets,Prefire
1338,4.943415778023856,182.91519165039062,0.6429052352905271,0.017721655645540572,1338,0.0119564728811383,20.4875,Meets,Prefire
1339,4.944501604352679,183.06734357561385,0.647699875491006,0.017998140039188287,1339,0.0155970538035035,18.6875,Meets,Prefire
1340,4.945624215262277,183.23462350027904,0.6451484560966492,0.017911798453756574,1340,0.0195561293512582,20.1125,Meets,Prefire
1341,4.946722984313965,183.40807233537947,0.6438555887767247,0.017729015754801715,1341,0.0152957094833254,20.6375,Meets,Prefire
1342,4.947831630706788,183.59054565429688,0.6416062797818863,0.017401182225772287,1342,0.0120417075231671,21.3875,Meets,Prefire
1343,4.948973655700684,183.77369471958707,0.6393123524529593,0.016954325671706856,1343,0.0090451249852776,21.6125,Meets,Prefire
1344,4.950084686279297,183.95337785993306,0.6371880854879106,0.01639519818127143,1344,0.0069062253460288,21.3875,Meets,Prefire
1345,4.951187201908657,184.12569318498885,0.6354543992451258,0.015733723661729145,1345,0.005386397242546,20.8625,Meets,Prefire
1346,4.952301979064941,184.29336547851562,0.6354611686297826,0.015280528792313144,1346,0.0047504068352282,20.5625,Meets,Prefire
1347,4.953410625457764,184.4452122279576,0.6376983863966806,0.015233358634369715,1347,0.0054225139319896,18.9875,Meets,Prefire
1348,4.95448180607387,184.56682477678572,0.6468948721885681,0.016260120485510003,1348,0.0138809531927108,15.987499,Meets,Prefire
1349,4.955502237592425,184.6777561732701,0.6495283756937298,0.01665771539722143,1349,0.0351990833878517,15.0875,Meets,Prefire
1350,4.956488949911935,184.77920532226562,0.6590059399604797,0.016832113532083144,1350,0.0868997275829315,14.5625,Meets,Prefire
