,DOC_Loss(gC/day/m2)_Delineated_Average,DON_Loss(gN/day/m2)_Delineated_Average,Runoff_All(mm/day)_Delineated_Average,NH4_Loss(gN/day/m2)_Delineated_Average,Year,NO3_Loss(gN/day/m2)_Delineated_Average,Step,DOC_mg/L,Sfc_Water_Temp_C,CO2
2017,0.07071453332901,0.00011164692114107312,0.4347405731678009,2.6162813810515217e-05,2003,1.0543420103203973e-05,2017,0.20204152379717144,18.837502,0.05051038094929286
2018,0.0479475408792495,7.734210521448404e-05,0.312271386384964,1.7425034457119182e-05,2003,6.802411462558666e-06,2018,0.1369929739407129,20.1875,0.03424824348517822
2019,0.039901815354824,6.439036224037409e-05,0.3442908823490143,1.4167932022246532e-05,2003,5.406281616160413e-06,2019,0.11400518672806857,20.412498,0.028501296682017143
2020,0.0373444892466068,5.9643647546181455e-05,0.2786178588867187,1.2911263183923438e-05,2003,4.913606062473264e-06,2020,0.10669854070459087,19.7375,0.026674635176147717
2021,0.0351446270942688,5.5746440921211615e-05,0.3085506856441498,1.1864178304676898e-05,2003,4.724604877992533e-06,2021,0.10041322026933944,18.2375,0.02510330506733486
2022,0.0327120833098888,5.166677146917209e-05,0.2066033333539962,1.077414708561264e-05,2003,4.3266550164844375e-06,2022,0.09346309517111086,18.9875,0.023365773792777714
2023,0.0273787565529346,4.3610900320345536e-05,0.1825436502695083,8.815060027700383e-06,2003,3.513337333060917e-06,2023,0.07822501872267029,19.962502,0.019556254680667573
2024,0.0245383903384208,3.906211713911034e-05,0.1890595555305481,7.715455467405263e-06,2003,3.1177844448393444e-06,2024,0.07010968668120228,19.3625,0.01752742167030057
2025,0.0249594263732433,3.907419886672869e-05,0.2437229454517364,7.651605301361997e-06,2003,3.1899103305477183e-06,2025,0.07131264678069515,18.6125,0.01782816169517379
2026,0.0316777825355529,4.7724501200718805e-05,0.4018822908401489,9.445268915442284e-06,2003,3.951437975047156e-06,2026,0.09050795010157972,18.162498,0.02262698752539493
2027,0.0420301146805286,6.13957381574437e-05,0.3580780029296875,1.2198017429909667e-05,2003,4.99634961670381e-06,2027,0.12008604194436744,18.3875,0.03002151048609186
