,DON_Loss(gN/day/m2)_Delineated_Average,Step,Runoff_All(mm/day)_Delineated_Average,NO3_Loss(gN/day/m2)_Delineated_Average,DOC_Loss(gC/day/m2)_Delineated_Average,NH4_Loss(gN/day/m2)_Delineated_Average,Year,DOC_mg/L,Sfc_Water_Temp_C,CO2
0,0.0015545228961855,0,11.570354461669922,0.00017254504200536758,0.0523499920964241,3.560858021955937e-05,1998,0.14957140598978316,2.6374998,0.03739285149744579
1,0.0003234171017538756,1,9.667781829833984,3.2951560569927096e-05,0.0109333042055368,7.595903753099265e-06,1998,0.03123801201581943,3.3125,0.007809503003954858
2,0.0003306657017674297,2,9.306119918823242,3.058119546039961e-05,0.011181516572833,8.019587767194025e-06,1998,0.03194719020809429,0.7624999,0.007986797552023573
3,0.00034300980041734874,3,8.75596809387207,2.9532291591749527e-05,0.0115724774077534,8.621765118732583e-06,1998,0.03306422116500972,0.08749986,0.00826605529125243
4,0.00032469420693814754,4,7.950657367706299,2.6074798370245844e-05,0.0109437983483076,8.446983883914072e-06,1998,0.031267995280878855,3.0875,0.007816998820219714
5,0.0002975386450998485,5,7.190545082092285,2.237976877950132e-05,0.0100255329161882,7.999168701644521e-06,1998,0.028644379760537717,1.2124999,0.007161094940134429
6,0.0002700334589462728,6,6.532505989074707,1.918000270961784e-05,0.009101303294301,7.4780837167054415e-06,1998,0.02600372369800286,-6.0625,0.006500930924500715
7,0.00024642868083901703,7,5.978877067565918,1.6698966646799818e-05,0.0083076814189553,7.024831120361341e-06,1998,0.02373623262558657,-1.6375003,0.005934058156396643
8,0.00022160324442666024,8,5.458420753479004,1.4374591046362184e-05,0.0074786366894841,6.502395535790129e-06,1998,0.021367533398526,2.7875,0.0053418833496315
9,0.0001980658562388271,9,4.98698616027832,1.233287275681505e-05,0.006693722680211,5.9848771343240514e-06,1998,0.01912492194346,3.7625,0.004781230485865
10,0.00017676038260105997,10,4.5655035972595215,1.0553527317824772e-05,0.0059850704856216,5.501099167304346e-06,1998,0.017100201387490285,4.3625,0.004275050346872571
11,0.00016026470984797925,11,4.1968183517456055,9.249747563444544e-06,0.005433218088001,5.14427529196837e-06,1998,0.015523480251431429,6.6125,0.003880870062857857
12,0.00014523116988129914,12,3.849581241607666,8.079600775090512e-06,0.0049315202049911,4.8071970013552345e-06,1998,0.014090057728546,5.7125,0.0035225144321365
13,0.0001302334712818265,13,3.544504880905152,6.878026852064068e-06,0.0044323578476905,4.442637873580679e-06,1998,0.01266387956483,5.0375,0.0031659698912075
14,0.00011812677257694304,14,3.276203155517578,5.933440661465284e-06,0.0040269647724926,4.15276281273691e-06,1998,0.011505613635693145,3.9125,0.0028764034089232863
15,0.00010762832971522585,15,3.0393643379211426,5.137751941219904e-06,0.0036753979511559,3.898778231814504e-06,1998,0.010501137003302572,5.9375,0.002625284250825643
16,9.807384776649997e-05,16,2.8218765258789062,4.473320586839691e-06,0.0033554038964211,3.660326228782651e-06,1998,0.009586868275488858,6.6875,0.0023967170688722144
17,8.964473090600222e-05,17,2.625793218612671,3.941100203519454e-06,0.0030727435369044,3.445660468059941e-06,1998,0.008779267248298287,5.4875,0.0021948168120745717
18,8.256882574642077e-05,18,2.4601519107818604,3.534407596816891e-06,0.0028347300831228,3.2665643630025443e-06,1998,0.008099228808922287,4.3625,0.0020248072022305717
19,7.664373697480187e-05,19,2.298285961151123,3.2238417588814627e-06,0.0026346838567405,3.1178306016954598e-06,1998,0.0075276681621157145,2.6374998,0.0018819170405289286
20,7.139816443668678e-05,20,2.160850048065185,2.9580669433926232e-06,0.0024574587587267,2.983567128467257e-06,1998,0.007021310739219144,2.8625002,0.001755327684804786
21,6.655136530753225e-05,21,2.034473180770874,2.7182004487258382e-06,0.0022938032634556,2.8556630695675267e-06,1998,0.0065537236098731425,5.7875,0.0016384309024682856
22,6.209428102010861e-05,22,1.918003797531128,2.5027698029589374e-06,0.0021434237714856,2.7322632831783267e-06,1998,0.006124067918530286,1.7375001,0.0015310169796325715
23,5.845375562785193e-05,23,1.81642484664917,2.340471837669611e-06,0.0020197799894958,2.634649945321144e-06,1998,0.005770799969988001,0.0124999285,0.0014426999924970001
24,5.534560841624625e-05,24,1.7248671054840088,2.2097331111581298e-06,0.0019135342445224,2.5529234335408546e-06,1998,0.005467240698635429,0.0124999285,0.0013668101746588572
25,5.243004488875158e-05,25,1.6406958103179932,2.0840600427618483e-06,0.0018141485052183,2.4729868073336547e-06,1998,0.005183281443480858,2.1875,0.0012958203608702144
26,4.96256907354109e-05,26,1.561726689338684,1.9592366697906982e-06,0.0017187616322189,2.391877615082194e-06,1998,0.004910747520625429,2.7875,0.0012276868801563573
27,4.704068487626501e-05,27,1.4883699417114258,1.8446717149345204e-06,0.0016306772595271,2.315396841368056e-06,1998,0.004659077884363143,2.0375,0.0011647694710907857
28,4.475483365240507e-05,28,1.421318531036377,1.746902967170172e-06,0.0015525094931945,2.248037617391674e-06,1998,0.004435741409127144,0.6125001,0.001108935352281786
29,4.268146585673094e-05,29,1.3597395420074463,1.6594711951256611e-06,0.0014814690221101,2.1869582269573584e-06,1998,0.004232768634600286,2.4125,0.0010581921586500715
30,4.067067129653879e-05,30,1.3016738891601562,1.5719278962933458e-06,0.0014127608155831,2.124955926774419e-06,1998,0.004036459473094572,3.3874998,0.001009114868273643
31,3.882046803482808e-05,31,1.24796724319458,1.4923094795449288e-06,0.0013495530001819,2.0665411284426227e-06,1998,0.003855865714805429,0.23750007,0.0009639664287013572
