,Unnamed: 0,Step,Runoff_All(mm/day)_Delineated_Average,DON_Pool(gN/m2)_Delineated_Average,DOC_Pool(gC/m2)_Delineated_Average,NH4_Pool(gN/m2)_Delineated_Average,NO3_Pool(gN/m2)_Delineated_Average,Condition,Criteria,Sfcwater_Temp_C
1309,1309,1309,0.033261530101299286,1.7235058546066284,62.73837661743164,0.2171271592378617,0.05292320251464844,Prefire,Meets,20.1125
1310,1310,1310,0.049177035689353936,1.7238471508026123,62.79388046264648,0.2184496819972992,0.053354084491729736,Prefire,Meets,19.7375
1311,1311,1311,0.059756588190793984,1.7241982221603394,62.8504753112793,0.21699778735637665,0.053638171404600136,Prefire,Meets,19.962502
1312,1312,1312,0.04319513961672783,1.724548101425171,62.90645980834961,0.21586814522743225,0.05380351096391678,Prefire,Meets,19.8125
1313,1313,1313,0.0339425690472126,1.7248932123184204,62.960121154785156,0.21556156873703008,0.05392551049590112,Prefire,Meets,19.287498
1314,1314,1314,0.034410882741212845,1.7252336740493774,63.00226593017578,0.2166346311569214,0.054049212485551834,Prefire,Meets,16.3625
1315,1315,1315,0.03981004282832146,1.7255635261535645,63.04603576660156,0.2176244705915451,0.05417491868138313,Prefire,Meets,16.8875
1316,1316,1316,0.05412661656737328,1.7258950471878052,63.08747100830078,0.2196545898914337,0.05436699092388153,Prefire,Meets,16.3625
1317,1317,1317,0.06281888484954834,1.7262165546417236,63.13586044311523,0.21955810487270355,0.05451508238911629,Prefire,Meets,18.162498
1318,1318,1318,0.05073122307658196,1.7265386581420898,63.18302917480469,0.21951924264431,0.054621096700429916,Prefire,Meets,17.9375
1319,1319,1319,0.05615982413291931,1.726855993270874,63.22884368896485,0.22122706472873688,0.054814599454402924,Prefire,Meets,17.5625
1320,1320,1320,0.0917586013674736,1.727180242538452,63.27212142944336,0.2229786515235901,0.055045664310455315,Prefire,Meets,17.037498
1321,1321,1321,0.12855075299739838,1.7274892330169678,63.317100524902344,0.2235766798257828,0.055258635431528084,Prefire,Meets,17.4875
1322,1322,1322,0.10950951278209686,1.7278051376342771,63.36722946166992,0.2226310521364212,0.05543343722820282,Prefire,Meets,18.6875
1323,1323,1323,0.07279189676046371,1.7281312942504885,63.42093276977539,0.2217865139245987,0.05558735877275467,Prefire,Meets,19.4375
1324,1324,1324,0.05054274946451187,1.7284671068191528,63.47932434082031,0.22082027792930609,0.05573922395706177,Prefire,Meets,20.5625
1325,1325,1325,0.03762992098927498,1.7288094758987433,63.53721237182617,0.21997250616550448,0.055885694921016686,Prefire,Meets,20.412498
1326,1326,1326,0.02906242944300175,1.7291487455368042,63.59551620483398,0.21888382732868195,0.05600182712078095,Prefire,Meets,20.4875
1327,1327,1327,0.02229204960167408,1.7294971942901611,63.65721130371094,0.21765176951885226,0.0560997873544693,Prefire,Meets,21.3125
1328,1328,1328,0.01841442845761776,1.7298548221588137,63.7173843383789,0.21672561764717105,0.05621231719851494,Prefire,Meets,21.087502
1329,1329,1329,0.0576641857624054,1.7302110195159912,63.77197265625,0.2201770693063736,0.05685512721538544,Prefire,Meets,19.587502
1330,1330,1330,0.2341955602169037,1.7305711507797241,63.82732772827149,0.2195642590522766,0.05736853927373886,Prefire,Meets,19.8125
1331,1331,1331,0.20087026059627533,1.7309365272521973,63.88182830810547,0.21756157279014587,0.05773305520415306,Prefire,Meets,19.287498
1332,1332,1332,0.12027020007371902,1.7313085794448853,63.93825912475586,0.21637000143527985,0.05800577998161316,Prefire,Meets,19.7375
1333,1333,1333,0.07975451648235321,1.731684327125549,63.99784851074219,0.21546746790409088,0.058224916458129876,Prefire,Meets,20.337502
1334,1334,1334,0.061030495911836624,1.7320661544799805,64.06003570556639,0.2150685042142868,0.05846065282821655,Prefire,Meets,20.9375
1335,1335,1335,0.048055414110422134,1.7324571609497068,64.12326812744139,0.2140484601259232,0.058649256825447076,Prefire,Meets,21.162498
1336,1336,1336,0.03568219766020775,1.732841730117798,64.18718719482422,0.2131315767765045,0.058804124593734734,Prefire,Meets,21.3125
1337,1337,1337,0.02813100069761276,1.7332394123077393,64.24901580810547,0.2124166637659073,0.058931544423103326,Prefire,Meets,20.8625
1338,1338,1338,0.023261105641722686,1.7336283922195437,64.30912780761719,0.21183165907859802,0.05903232470154762,Prefire,Meets,20.4875
1339,1339,1339,0.029890209436416626,1.7340251207351685,64.36219024658203,0.21342574059963226,0.05938554182648659,Prefire,Meets,18.6875
1340,1340,1340,0.0370197631418705,1.7344162464141846,64.42098999023439,0.2124316394329071,0.059609714895486825,Prefire,Meets,20.1125
1341,1341,1341,0.030081560835242268,1.734798789024353,64.48190307617189,0.2118714153766632,0.059801191091537476,Prefire,Meets,20.6375
1342,1342,1342,0.024750690907239914,1.735195517539978,64.54552459716797,0.21096764504909515,0.05994538590312004,Prefire,Meets,21.3875
1343,1343,1343,0.019672626629471786,1.7355930805206299,64.60991668701172,0.21004582941532127,0.060052860528230674,Prefire,Meets,21.6125
1344,1344,1344,0.015953142195940018,1.7359933853149414,64.67293548583984,0.20918355882167816,0.060126446187496185,Prefire,Meets,21.3875
1345,1345,1345,0.01323072984814644,1.73638117313385,64.73313140869139,0.2084668874740601,0.06016609072685241,Prefire,Meets,20.8625
1346,1346,1346,0.012150276452302931,1.736773133277893,64.79251861572266,0.2083682864904404,0.06027773395180702,Prefire,Meets,20.5625
1347,1347,1347,0.01370561495423317,1.7371621131896973,64.84584045410156,0.2090683877468109,0.06052277237176895,Prefire,Meets,18.9875
